structure(list(CpGmarker = c("(Intercept)", "cg00075967", "cg00374717", 
"cg00864867", "cg00945507", "cg01027739", "cg01353448", "cg01584473", 
    45418881L, 114908490L, 86186L, 6633656L, 33290234L, 157875073L, 
    NA, 63864271L, 36867762L, 97575058L, 158361297L, 32561967L, 
    22070289L, 55316417L, 56720797L, 9379736L, 23597702L, 4720152L, 
    22043975L, 105873835L, 35811558L, NA, 153000227L, 16296651L, 
    158164282L, 175725111L, 81744472L, 88226689L, 7351866L, 84031424L, 
    39593369L, 36295005L, 35934344L, 14930095L, 135190857L, 20636639L, 
    125731306L, 37502674L, 27498707L, 167866031L, 34115401L, 
    56859927L, 72215163L, 3794631L, 6751931L, 62058212L, 38973920L, 
    177529640L, 132228336L, 51680330L, 42368221L, 128874471L, 
    68933552L, 94123414L, 51992603L, 200528468L, 31998242L, 37455396L, 
    71023222L, 73394126L, 126881247L, 56816422L, 51984124L, 149657871L, 
    19699449L, 17050357L, 170044252L, 1534850L, 91979292L, 45042774L, 
    34083725L, 55777742L, 56883608L, 48165901L, 70840164L, 39264593L, 
    15451312L, 92595282L, 32747422L, 67534366L, 144192054L, 26527486L, 
    45858625L, 2016930L, 74458630L, 75812605L, 107719978L, 70367602L, 
    34652689L, 234624303L, 111571804L, 54786489L, 150707312L, 
    169932342L, 109810340L, 13121987L, 127509334L, 242073176L, 
    201083037L, 71413069L, 39209081L, 139636114L, 33814561L, 
    17575543L, 71060020L, 44828688L, 14930095L, 65443107L, 72969463L, 
    24579610L, 54618510L, 196645041L, 120823577L, 42515913L, 
    120720251L, 153468519L, 56848190L, 3433491L, 101723176L, 
    143423716L, 200191271L, 21919929L, 137155349L, 92869318L, 
    154828194L, 46690337L, 136358231L, 71487020L, 82345239L, 
    716460L, 101462546L, 38955488L, 44775225L, 90197950L, 41558155L, 
    50333203L, 148532893L, 94123414L, 51984124L, 124355728L, 
    43005270L, 36338437L, 31857228L, 138753501L, 82736423L, 30740018L, 
    5440559L, 77824862L, 36401589L, 65422380L, 44044433L, 23730300L, 
    25372428L, 47330806L, 19487596L, 55326520L, 95063739L, 61151010L, 
    134237326L, 63556669L, 185561961L, 43858971L, 79829797L, 
    88147164L, 37878484L, 33113634L, 46906615L, 87529596L, 27404562L, 
    2828507L, 89228713L, 16658629L, 113435641L, 57791844L, 18388631L, 
    38282335L, 123716335L, 11727876L, 39822399L, 44047300L, 222368436L, 
    12862049L, 44828688L, 60320739L, 47492449L, 133599636L, 38778895L, 
    21919929L, 54350493L, 221633391L, 32706623L), Gene_Strand = structure(c(1L, 
    2L, 3L, 2L, 2L, 3L, 3L, 3L, 3L, 2L, 3L, 2L, 3L, 3L, 2L, 2L, 
    3L, 3L, 2L, 3L, 3L, 2L, 2L, 3L, 3L, 3L, 3L, 3L, 2L, 2L, 3L, 
    2L, 3L, 2L, 2L, 3L, 2L, 2L, 3L, 3L, 3L, 2L, 2L, 3L, 3L, 2L, 
    3L, 3L, 3L, 3L, 3L, 2L, 2L, 3L, 3L, 3L, 3L, 2L, 3L, 3L, 3L, 
    3L, 2L, 2L, 3L, 2L, 3L, 2L, 3L, 2L, 2L, 3L, 2L, 3L, 2L, 2L, 
    3L, 3L, 3L, 3L, 2L, 2L, 2L, 2L, 2L, 3L, 3L, 2L, 2L, 3L, 2L, 
    2L, 3L, 2L, 2L, 2L, 2L, 3L, 3L, 3L, 3L, 2L, 3L, 2L, 2L, 2L, 
    2L, 2L, 2L, 2L, 2L, 2L, 3L, 2L, 2L, 2L, 3L, 2L, 2L, 3L, 2L, 
    3L, 3L, 2L, 2L, 2L, 2L, 3L, 2L, 2L, 2L, 3L, 3L, 2L, 2L, 3L, 
    3L, 3L, 2L, 3L, 2L, 3L, 2L, 3L, 3L, 3L, 2L, 3L, 2L, 3L, 2L, 
    2L, 3L, 3L, 3L, 3L, 2L, 2L, 2L, 3L, 2L, 3L, 2L, 2L, 2L, 3L, 
    2L, 3L, 3L, 3L, 3L, 3L, 3L, 3L, 3L, 2L, 2L, 2L, 3L, 3L, 3L, 
    2L, 3L, 3L, 3L, 2L, 3L, 3L, 3L, 2L, 3L, 3L, 2L, 2L, 2L, 3L, 
    2L, 3L, 2L, 3L, 3L, 3L, 2L, 3L, 2L, 2L, 3L, 3L, 2L, 3L, 3L, 
    2L, 3L, 3L, 3L, 2L, 2L, 3L, 2L, 2L, 2L, 2L, 3L, 3L, 2L, 3L, 
    3L, 3L, 2L, 3L, 2L, 2L, 3L, 3L, 3L, 3L, 2L, 3L, 3L, 2L, 3L, 
    3L, 3L, 3L, 2L, 2L, 3L, 2L, 2L, 3L, 2L, 2L, 3L, 3L, 3L, 2L, 
    3L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 3L, 3L, 3L, 3L, 2L, 2L, 2L, 
    3L, 3L, 2L, 2L, 2L, 3L, 2L, 3L, 3L, 2L, 3L, 3L, 3L, 2L, 2L, 
    3L, 3L, 2L, 3L, 2L, 2L, 2L, 3L, 2L, 3L, 3L, 3L, 3L, 3L, 2L, 
    3L, 2L, 2L, 2L, 3L, 2L, 3L, 2L, 3L, 2L, 3L, 2L, 3L, 2L, 3L, 
    2L, 3L, 2L, 2L, 3L, 3L, 2L, 2L, 3L, 3L, 3L, 2L, 2L, 2L, 2L, 
    3L, 2L, 3L, 3L, 3L, 2L, 3L, 3L, 2L, 2L, 2L, 2L, 3L, 2L, 2L, 
    2L, 2L, 2L, 2L, 2L, 2L, 3L, 3L), .Label = c("", "-", "+"), class = "factor"), 
    Symbol = structure(c(1L, 304L, 21L, 244L, 285L, 107L, 50L, 
    220L, 343L, 342L, 56L, 273L, 324L, 165L, 175L, 3L, 52L, 145L, 
    288L, 42L, 137L, 186L, 55L, 296L, 170L, 301L, 91L, 97L, 341L, 
    151L, 15L, 331L, 36L, 181L, 106L, 339L, 183L, 198L, 173L, 
    84L, 68L, 81L, 180L, 252L, 64L, 235L, 282L, 194L, 267L, 86L, 
    88L, 108L, 269L, 154L, 16L, 227L, 196L, 256L, 9L, 63L, 208L, 
    234L, 99L, 100L, 25L, 200L, 264L, 102L, 261L, 244L, 65L, 
    334L, 239L, 73L, 308L, 322L, 243L, 143L, 275L, 171L, 320L, 
    193L, 72L, 202L, 258L, 159L, 129L, 103L, 58L, 109L, 38L, 
    316L, 75L, 246L, 325L, 237L, 210L, 333L, 128L, 134L, 272L, 
    253L, 188L, 44L, 105L, 268L, 209L, 39L, 101L, 89L, 48L, 71L, 
    125L, 132L, 231L, 232L, 147L, 113L, 126L, 70L, 177L, 225L, 
    131L, 96L, 222L, 345L, 172L, 138L, 317L, 287L, 247L, 242L, 
    292L, 329L, 92L, 318L, 104L, 24L, 335L, 249L, 317L, 140L, 
    78L, 229L, 178L, 144L, 281L, 330L, 207L, 166L, 160L, 33L, 
    150L, 41L, 57L, 93L, 309L, 298L, 230L, 276L, 102L, 164L, 
    326L, 263L, 123L, 98L, 95L, 274L, 315L, 271L, 136L, 259L, 
    283L, 152L, 158L, 192L, 26L, 155L, 312L, 254L, 42L, 162L, 
    37L, 311L, 29L, 306L, 182L, 299L, 20L, 32L, 130L, 19L, 284L, 
    201L, 185L, 90L, 212L, 94L, 340L, 303L, 110L, 133L, 286L, 
    214L, 302L, 34L, 120L, 187L, 328L, 332L, 300L, 22L, 310L, 
    59L, 5L, 189L, 289L, 8L, 135L, 238L, 337L, 60L, 77L, 195L, 
    111L, 4L, 51L, 240L, 197L, 27L, 266L, 319L, 80L, 224L, 278L, 
    262L, 327L, 139L, 228L, 250L, 85L, 233L, 13L, 53L, 215L, 
    203L, 294L, 277L, 260L, 321L, 153L, 62L, 114L, 76L, 6L, 293L, 
    49L, 66L, 305L, 205L, 12L, 174L, 218L, 82L, 121L, 245L, 213L, 
    35L, 127L, 212L, 31L, 216L, 217L, 314L, 74L, 119L, 54L, 116L, 
    206L, 149L, 344L, 30L, 11L, 313L, 211L, 204L, 179L, 17L, 
    141L, 279L, 7L, 265L, 40L, 307L, 118L, 270L, 295L, 290L, 
    323L, 219L, 289L, 4L, 338L, 190L, 83L, 157L, 241L, 199L, 
    168L, 67L, 87L, 191L, 18L, 251L, 112L, 69L, 221L, 226L, 167L, 
    248L, 223L, 47L, 2L, 79L, 14L, 28L, 10L, 61L, 146L, 23L, 
    142L, 117L, 176L, 124L, 297L, 336L, 255L, 46L, 291L, 184L, 
    236L, 169L, 161L, 122L, 115L, 127L, 257L, 280L, 156L, 148L, 
    211L, 163L, 43L, 45L), .Label = c("", "A1BG", "ABCA3", "ABHD14A", 
    "ABTB1", "ACOT11", "ACOX1", "ACY1", "ADHFE1", "AFF1", "AIG1", 
    "AKT3", "ALDH3B1", "ALKBH3", "ALOX12", "ANXA9", "APOA1BP", 
    "APPBP1", "ARHGEF18", "ARL10", "ARSG", "ASTE1", "ATPAF1", 
    "B3GALT6", "BASP1", "BAZ2A", "BBS5", "BCMO1", "BIK", "BIRC2", 
    "Bles03", "BNC1", "BRUNOL6", "C10orf27", "C10orf35", "C10orf99", 
    "C12orf23", "C14orf102", "C14orf105", "C16orf25", "C19orf15", 
    "C19orf30", "C1orf65", "C1orf91", "C21orf63", "C22orf25", 
    "C5orf14", "C6orf15", "C6orf208", "C7orf16", "C7orf29", "C8G", 
    "C8orf31", "C8orf40", "C9orf64", "C9orf85", "CA3", "CAPZB", 
    "CASC4", "CASKIN2", "CBX7", "CCL27", "CCL7", "CCNF", "CCR10", 
    "CD164", "CD274", "CD79A", "CDCA2", "CDH1", "CEBPD", "CECR6", 
    "CENPF", "CENTB2", "CHAF1B", "CHI3L2", "CHST3", "CIB2", "CLCN2", 
    "CLEC3B", "CLOCK", "CMYA1", "COL8A2", "COLEC10", "CRADD", 
    "CRAMP1L", "CSNK1D", "CSPG3", "CSPG5", "CX40.1", "CXADR", 
    "CXCL16", "CYFIP1", "CYP2E1", "DCHS1", "DDAH2", "DDR1", "DEFB127", 
    "DEPDC1", "DGKI", "DHRS10", "DIRAS3", "DKK3", "DNAJB13", 
    "DNASE2", "DOCK9", "DOLPP1", "DPP8", "DSCR6", "DSCR9", "DST", 
    "E2F2", "ECGF1", "EDARADD", "ELAC2", "ENPP2", "EPHX2", "ERG", 
    "FAM3C", "FAM50B", "FAM62C", "FBXO28", "FEM1C", "FES", "FGF18", 
    "FLJ10803", "FLJ10945", "FLJ21839", "FLJ22555", "FLJ32110", 
    "FLJ33718", "FLJ33790", "FLJ33814", "FLJ36980", "FLJ37953", 
    "FLJ37970", "FLJ40365", "FOXE3", "FXN", "FZD9", "GABRA4", 
    "GALC", "GALR1", "GAP43", "GEFT", "GLB1", "GLI2", "GLO1", 
    "GNAS", "GPR25", "GPR68", "GRIA2", "GRIN2C", "GRWD1", "GTL3", 
    "hCAP-D3", "HCRTR1", "hfl-B5", "HMG20B", "HOXB4", "HOXB8", 
    "HR", "HRC", "HSPC268", "HTRA2", "IL1F5", "IL6ST", "IPO8", 
    "ITGA2B", "JMJD1A", "JPH3", "KCNC2", "KCNC4", "KCTD18", "KHDRBS2", 
    "KIAA0020", "KIAA0980", "KIAA1199", "KIAA1409", "KIAA1840", 
    "KLF14", "KLF2", "KLK13", "KPNA1", "KRT20", "KRTHA3B", "LAG3", 
    "LAMA3", "LARP6", "LEPRE1", "LGALS1", "LGI3", "LHCGR", "LOC124842", 
    "LOC133619", "LOC161931", "LOC201164", "LOXL2", "LRRC50", 
    "LTBP3", "LTK", "LYPD5", "LZTFL1", "MAP3K5", "MAPKAP1", "MBNL1", 
    "MCAM", "MGAT5", "MGC22793", "MGC24975", "MGC50721", "MGP", 
    "MIB1", "MLLT6", "MN1", "MPI", "MPP6", "MRPL38", "MRPS21", 
    "MUC17", "MYBPC3", "MYOZ1", "NALP8", "NAT10", "NDST3", "NDUFA13", 
    "NDUFA3", "NDUFS5", "NEU2", "NHLRC1", "NOL1", "NOX4", "NPR3", 
    "NR2F2", "NT5DC3", "NTSR2", "OR5V1", "OSBPL10", "P11", "P2RXL1", 
    "PACAP", "PAPOLG", "PATE", "PAWR", "PDCD6IP", "PDE4C", "PDGFB", 
    "PDK4", "PDLIM5", "PGLYRP2", "PHACS", "PIPOX", "PITPNM3", 
    "PLK1", "PLK2", "POMC", "PPP1R12C", "PPP1R14A", "PPP1R16B", 
    "PQLC1", "PRDM12", "PRKAA2", "PRKCBP1", "PRKG1", "PRKG2", 
    "PRPF8", "PTGER2", "PTPRK", "RAPGEF1", "RASSF4", "RASSF5", 
    "RBPMS", "REEP1", "RFC3", "RHBDD1", "RPL31", "RPS6KL1", "RSPRY1", 
    "RXRA", "SCAP", "SCD5", "SCGN", "SDC2", "SEC31L1", "SEC61G", 
    "SELP", "SFMBT1", "SFRP1", "SGCE", "SLC14A1", "SLC22A13", 
    "SLC28A2", "SLC36A2", "SLC9A3R2", "SLCO3A1", "SMARCAD1", 
    "SNRPB2", "SNX8", "SNX9", "SOAT1", "SPATA18", "SSRP1", "ST3GAL4", 
    "STRA6", "STX10", "SYNE1", "TBC1D23", "TBX5", "TCF15", "TEX264", 
    "TFAP2E", "THUMPD3", "TIMM17A", "TIP39", "TIPARP", "TJP1", 
    "TMEM103", "TMEM56", "TMSL3", "TNFRSF13C", "TNFSF13B", "TNP1", 
    "TOM1L1", "TRIP10", "TSGA14", "TUBB2B", "UBE2V1", "UCKL1", 
    "UROS", "USP10", "VGF", "VPS18", "WDR69", "WFS1", "YPEL1", 
    "ZBTB16", "ZBTB5", "ZHX1", "ZNF177", "ZNF219", "ZNF287", 
    "ZNF438", "ZNF551", "ZNF597", "ZNF70"), class = "factor"), 
    Synonym = structure(c(1L, 240L, 171L, 230L, 269L, 186L, 150L, 
    205L, 195L, 127L, 196L, 52L, 271L, 220L, 263L, 6L, 55L, 228L, 
    138L, 234L, 1L, 153L, 190L, 100L, 285L, 128L, 61L, 58L, 1L, 
    219L, 183L, 1L, 288L, 51L, 301L, 1L, 175L, 184L, 178L, 75L, 
    162L, 169L, 120L, 185L, 104L, 116L, 257L, 1L, 97L, 275L, 
    206L, 204L, 53L, 148L, 25L, 40L, 1L, 203L, 14L, 110L, 146L, 
    30L, 83L, 85L, 59L, 187L, 233L, 28L, 232L, 230L, 147L, 293L, 
    239L, 69L, 156L, 283L, 1L, 142L, 192L, 165L, 42L, 181L, 1L, 
    241L, 79L, 265L, 88L, 249L, 60L, 252L, 113L, 302L, 56L, 92L, 
    70L, 2L, 1L, 124L, 1L, 1L, 155L, 208L, 93L, 5L, 90L, 243L, 
    1L, 114L, 250L, 207L, 270L, 67L, 299L, 1L, 223L, 176L, 276L, 
    282L, 1L, 291L, 209L, 1L, 136L, 140L, 80L, 77L, 177L, 32L, 
    119L, 254L, 262L, 117L, 76L, 1L, 268L, 126L, 284L, 44L, 112L, 
    179L, 119L, 139L, 174L, 259L, 280L, 36L, 255L, 287L, 63L, 
    111L, 158L, 68L, 1L, 134L, 57L, 258L, 95L, 1L, 98L, 199L, 
    28L, 1L, 198L, 244L, 107L, 82L, 109L, 251L, 81L, 247L, 50L, 
    278L, 160L, 144L, 141L, 180L, 279L, 1L, 87L, 236L, 234L, 
    35L, 193L, 26L, 47L, 3L, 182L, 256L, 29L, 46L, 1L, 170L, 
    7L, 286L, 166L, 135L, 215L, 78L, 300L, 272L, 1L, 86L, 65L, 
    15L, 103L, 266L, 294L, 64L, 290L, 172L, 9L, 161L, 260L, 152L, 
    49L, 115L, 99L, 12L, 197L, 221L, 1L, 24L, 54L, 1L, 48L, 91L, 
    1L, 224L, 1L, 1L, 242L, 1L, 281L, 21L, 173L, 23L, 73L, 102L, 
    1L, 274L, 245L, 211L, 20L, 132L, 200L, 1L, 261L, 191L, 121L, 
    41L, 213L, 22L, 1L, 298L, 45L, 231L, 118L, 189L, 273L, 202L, 
    235L, 125L, 253L, 295L, 72L, 19L, 201L, 1L, 1L, 215L, 226L, 
    238L, 292L, 1L, 8L, 149L, 1L, 34L, 101L, 296L, 130L, 27L, 
    18L, 277L, 1L, 31L, 133L, 17L, 1L, 212L, 10L, 71L, 163L, 
    214L, 227L, 13L, 217L, 164L, 267L, 188L, 99L, 91L, 1L, 225L, 
    106L, 222L, 129L, 122L, 246L, 39L, 154L, 143L, 159L, 11L, 
    94L, 123L, 108L, 37L, 62L, 1L, 210L, 289L, 4L, 74L, 84L, 
    43L, 16L, 1L, 1L, 33L, 1L, 66L, 297L, 137L, 194L, 237L, 264L, 
    89L, 218L, 248L, 216L, 151L, 157L, 105L, 96L, 1L, 229L, 168L, 
    167L, 145L, 1L, 1L, 131L, 38L), .Label = c("", "6M1-21; hs6M1-21; ", 
    "8B; CPG2; MYNE1; MYNE-1; SYNE-1; SYNE-1B; FLJ30878; KIAA0796; KIAA1262; KIAA1756; dJ398G3.1; dJ398G3.2; nesprin-1; RP3-398G3.1; RP11-809I23.2; DKFZp781J13156; ", 
    "A1B; ABG; GAB; HYST2477; DKFZp686F0970; ", "AASL548; PRO1105; FLJ90779; RP4-622L5; dJ622L5.7; RP4-622L5.3; ", 
    "ABC3; ABC-C; LBM180; MGC72201; EST111653; ", "ABP125; ABP130; SEC31A; HSPC275; HSPC334; KIAA0905; MGC90305; DKFZp686N07171; ", 
    "ACAP2; CNT-B2; KIAA0041; ", "ACAT; SOAT; STAT; ACACT; ACAT1; RP11-215I23.2; ", 
    "ACOX; MGC1198; PALMCOX; ", "ACS; ", "ACY1D; ACYLASE; ", 
    "AD037; MGC44914; ", "ADH8; FLJ32430; HMFT2263; MGC48605; ", 
    "AF17; FLJ23480; ", "AF4; AF-4; PBM1; MLLT2; ", "AIBP; MGC119143; MGC119145; ", 
    "AIG-1; FLJ10485; dJ95L4.1; RP1-95L4.1; DKFZp686F03136; ", 
    "AIP1; Alix; HP95; DRIP4; MGC17003; ", "ALDH4; ALDH7; ", 
    "ALP; hALP; FLJ10774; FLJ12179; KIAA1709; DKFZp434C116; ", 
    "ALP; ILC; CTAK; CTACK; PESKY; ESKINE; SCYA27; ", "AMPK; AMPK2; PRKAA; ", 
    "ANKS5B; FLJ21609; KIAA1139; ", "ANX31; ", "AP2E; MGC49007; ", 
    "API1; MIHB; HIAP2; RNF48; cIAP1; Hiap-2; ", "ARHI; NOEY2; ", 
    "ARL10A; FLJ39249; ", "ARP1; SVP40; COUPTFB; TFCOUP2; COUP-TFII; ", 
    "ASK1; MEKK5; MAPKKK5; ", "ASMD; FKHL12; FREAC8; ", "ATP11; ATP11p; FLJ22351; ", 
    "ATX; PDNP2; LysoPLD; PD-IALPHA; ", "AU; ALUNC; HSA277165; ", 
    "B-50; PP46; ", "B16.6; CDA016; CGI-39; GRIM19; GRIM-19; ", 
    "B18; SUE21; PRED34; ", "B7-H; B7H1; PDL1; PD-L1; PDCD1L1; PDCD1LG1; ", 
    "B9; ", "BAFF; BLYS; CD257; TALL1; THANK; ZTNF4; TALL-1; TNFSF20; delta BAFF; ", 
    "BAFFR; CD268; BAFF-R; MGC138235; ", "BCO; BCDO; BCMO; BCDO1; FLJ10730; ", 
    "beta3GalT6; ", "BFIT; THEA; BFIT1; BFIT2; THEM1; STARD14; KIAA0707; ", 
    "BNC; BSN1; HsT19447; ", "BP4; NBK; BBC1; BIP1; ", "BPA; BP240; BPAG1; MACF2; CATX-15; KIAA0465; KIAA1470; ", 
    "BPOZ; EF1ABP; PP2259; MGC20585; ", "BRLZ; FLJ00354; DKFZp434G0920; ", 
    "BTEB5; ", "C2orf23; FLJ13110; ", "C3G; GRF2; DKFZp781P1719; ", 
    "C6ST; C6ST1; ", "C8C; ", "CAF1; MPP7; CAF-1; CAF1A; CAF1P60; CAF-IP60; MPHOSPH7; ", 
    "CAIII; ", "CAK; DDR; NEP; PTK3; RTK6; TRKE; CD167; EDDR1; MCK10; NTRK4; PTK3A; ", 
    "CAP23; NAP22; CAP-23; NAP-22; MGC8555; ", "CAPB; CAPZ; CAPPB; MGC104401; MGC129749; MGC129750; ", 
    "CAR; HCAR; ", "CD130; GP130; CDw130; IL6R-beta; GP130-RAPS; ", 
    "CD146; MUC18; ", "CD223; ", "CD62; GRMP; PSEL; CD62P; GMP140; PADGEM; FLJ45155; ", 
    "CEH; SEH; ", "CELF; CRP3; C/EBP-delta; NF-IL6-beta; ", "CELF6; ", 
    "CENF; PRO1779; ", "Cep41; DKFZp762H1311; ", "cGKII; PRKGR2; ", 
    "CHR3SYT; ", "CIR1; UEV1; CROC1; UBE2V; UEV-1; UEV1A; CROC-1; ", 
    "CLC2; ECA3; EGI3; EGMA; CIC-2; ", "CLL1; MGC118794; MGC118795; ", 
    "CNT2; HCNT2; SPNT1; HsT17153; ", "Cos17; MGC48959; ", "CPE1; CYP2E; P450-J; P450C2E; ", 
    "CPI-17; PPP1INL; ", "CS-2; FATZ; MYOZ; myozenin; ", "DDF1; PARP7; PARP-1; PARP-7; DKFZP434J214; DKFZp686N0351; DKFZp686P1838; ", 
    "DEF-27; DEFB27; hBD-27; DEFB-27; C20orf73; bA530N10.2; ", 
    "DEP.8; SDP35; FLJ20354; ", "DEPC1; DEPC-1; MGC118790; MGC118792; MGC118793; ", 
    "DGK-IOTA; ", "dJ366L4.1; ", "DKFZP434F091; ", "DKFZp666A212; ", 
    "DKFZp761P1121; ", "DNL; DNL2; DNASE2A; ", "DORZ1; DKFZP564O243; ", 
    "DPDE1; MGC126222; PDE4C-791; ", "E170; LOCS; LAMNA; lama3a; ", 
    "E2F-2; ", "EC2; PARAXIS; ", "ELC2; HPC2; FLJ10530; FLJ42848; ", 
    "EP2; ", "EPM2A; EPM2B; MGC119262; MGC119264; MGC119265; bA204B7.2; ", 
    "ESG; DYT11; ", "ETL1; KIAA1122; DKFZp762K2015; ", "EXP; MBNL; EXP35; EXP40; EXP42; KIAA0428; DKFZp686P06174; ", 
    "FA; X25; FARR; FRDA; MGC57199; ", "FACT; T160; ", "FBX1; FBXO1; ", 
    "Fbx28; FLJ10766; KIAA0483; ", "FECD; PPCD; PPCD2; FLJ00201; MGC116970; MGC116972; ", 
    "FEM1A; KIAA1785; EUROIMAGE686608; EUROIMAGE783647; ", "FHC; CMH4; MYBP-C; ", 
    "FIB1; CDH25; PCDH16; FLJ11790; KIAA1773; ", "FIC; MARC; MCP3; NC28; MCP-3; SCYA6; SCYA7; ", 
    "FIL1; FIL1D; IL1L1; IL1HY1; IL1RP3; MGC29840; FIL1(DELTA); ", 
    "FKSG3; MGC64992; ", "FLJ10008; FLJ14051; ", "FLJ10650; ", 
    "FLJ11196; ", "FLJ11266; TU12B1-TY; ", "FLJ11805; FLJ12972; FLJ13482; FLJ14187; ", 
    "FLJ13162; MGC120218; dJ182D15.1; RP1-266L20.3; ", "FLJ20211; ", 
    "FLJ21439; DKFZp762B1512; ", "FLJ22378; ", "FLJ25330; DKFZp434A119; ", 
    "FLJ25804; ", "FLJ25955; ", "FLJ31322; FLJ37818; 6530404F10Rik; ", 
    "FLJ31842; MGC102912; ", "FLJ32761; MGC126671; bA330O11.1; RP11-330O11.1; ", 
    "FLJ32906; ", "FLJ32987; MGC29506; ", "FLJ33071; ", "FLJ35728; RP11-76K24.1; ", 
    "FLJ37131; MGC90155; ", "FLJ43337; ", "FLJ46353; DKFZP434A1022; ", 
    "FLJ90023; RP11-425A6.2; ", "FLJ90556; ", "FPS; ", "FRP; FRP1; FrzA; FRP-1; SARP2; ", 
    "FZD3; ", "G6a; DDAH; NG30; DDAHII; ", "GA17; ", "GALNR; GALNR1; ", 
    "GBP; ", "GLUR2; GLURB; HBGR2; ", "GLYI; ", "GNT-V; ", "GPR2; ", 
    "GRWD; WDR28; ", "GS3786; ", "GSBS; ", "GTA; CD41; GP2B; HPA3; CD41B; GPIIb; ", 
    "H63; MGC74708; ", "HA3II; Ha-3II; KRTHA3A; hHa3-II; ", "HCKID; ", 
    "HERMES; ", "HOS; ", "HOX2; HOX2D; Hox-2.4; ", "HOX2; HOX2F; HOX-2.6; ", 
    "HPP1; A-116A10.1; ", "HSPG; HSPG1; SYND2; ", "HT001; MGC129980; ", 
    "IGA; MB-1; ", "JFP10; FLJ34512; ", "JK; UT1; UTE; HUT11; RACH1; UT-B1; HsT1341; ", 
    "JP3; HDL2; JP-3; TNRC22; CAGL237; ", "K20; CK20; KRT21; MGC35423; ", 
    "KIAA0056; MGC104671; ", "KIAA0199; ", "KIAA0334; ", "KIAA0521; MGC15913; ", 
    "KIAA1001; ", "KIAA1475; ", "KIAA1972; ", "KIP2; ", "KLKL4; KLK-L4; DKFZP586J1923; ", 
    "KOX; KOX-1; RENOX; ", "KV3.2; ", "KV3.4; KSHIIIC; HKSHIIIC; MGC126818; ", 
    "L9; ENH; LIM; ", "LGIL4; ", "LHR; LCGR; LGR2; hLHR; ", "LKLF; ", 
    "LOG12; ", "LOR2; WS9-14; ", "LPIPOX; ", "LSFR2; ", "LTBP2; LTBP-3; pp6425; DKFZP586M2123; ", 
    "MDS016; RPMS21; MRP-S21; ", "MGC-24; MUC-24; endolyn; ", 
    "MGC10999; RP11-575L7.5; ", "MGC11287; ", "MGC117258; DKFZp547E052; ", 
    "MGC17943; ", "MGC24807; MGC45309; ", "MGC52307; ", "MGC61599; RP11-346E17.2; ", 
    "MGC70509; ", "MGC8685; bA506K6.1; DKFZp566F223; RP11-506K6.1; TUBB-PARALOG; ", 
    "MGC88191; ", "MGCR; MGCR1; MGCR1-PEN; dJ353E16.2; ", "MIB; ZZZ6; DIP-1; ZZANK2; FLJ90676; DKFZp686I0769; DKFZp761M1710; ", 
    "MIP1; SIN1; SIN1b; SIN1g; MGC2745; ", "MSH; POC; ACTH; CLIP; ", 
    "MSTP141; FLJ14920; FLJ20283; MGC26191; ", "MUC3; ", "NCAN; ", 
    "NGC; MGC44034; ", "NIR1; RDGBA3; ", "NLP; FLJ11792; dJ691N24.1; ", 
    "NOD16; ", "NPRC; ANPRC; ", "NR2B1; ", "NR2C; NMDAR2C; ", 
    "NS4ATP1; FLJ11046; DKFZp667G062; ", "NTI; GIG36; MGLAP; ", 
    "NTR2; ", "OATP-D; OATP3A1; SLC21A11; ", "OCTL1; OCTL3; ORCTL3; ", 
    "OGR1; MGC111379; ", "OMI; PRSS25; ", "ORP10; OSBP9; FLJ20363; ", 
    "OX1R; ", "p120; NSUN1; NOP120; ", "P2X6; P2XM; P2RX6; ", 
    "P3H1; GROS1; MGC117314; ", "P5326; ", "p55; erg-3; ", "p63RhoGEF; ", 
    "p84; DKFZp434D0412; ", "PAR4; Par-4; ", "PAT2; TRAMD1; FLJ16051; MGC119658; MGC119660; ", 
    "PFM9; ", "PGK; CGKI; PRKG1B; PRKGR1B; MGC71944; cGKI-BETA; cGKI-alpha; ", 
    "PGSF1; PGSF1a; PGSF1b; ", "PKBG; PRKBG; STK-2; RAC-gamma; RAC-PK-gamma; DKFZP434N0250; ", 
    "PLK; STPK13; ", "PLZF; ZNF145; ", "PMI; PMI1; ", "PP11; MGC133268; PRSS26-PENDING; ", 
    "PP14296; FLJ12541; ", "PRO4356; FLJ30469; ", "PRP8; RP13; HPRP8; PRPC8; ", 
    "R-PTP-kappa; DKFZp686C2268; ", "RACK7; ZMYND8; PRO2893; MGC31836; ", 
    "RAIDD; MGC9163; ", "RANBP8; ", "RAPL; Maxp1; NORE1; RASSF3; MGC10823; ", 
    "RCH2; SRP1; IPOA5; NPI-1; ", "REIC; ", "retSDR3; ", "RFC38; MGC5276; ", 
    "RIPPLY3; ", "RPML3; MRP-L3; HSPC262; MGC4810; ", "RU1; SFMBT; DKFZp434L243; ", 
    "SCD2; SCD4; ACOD4; FADS4; HSCD5; FLJ21032; ", "SDP1; WISP; MST155; SH3PX1; MSTP155; SH3PXD3A; ", 
    "SEGN; SECRET; setagin; DJ501N12.8; ", "SHYC; FLJ45151; P140SRA-1; ", 
